    ITER        TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE             MASS
       0   0.000E+00     0.0088   1.041E+00   1.0000   0.0134   1.029E-03   1.49999989E+01   1.12499999E+02   2.31875000E+02
      20   2.081E+01     2.6152   1.041E+00   1.0000   0.0119   2.156E-15   1.49450060E+01   1.11737734E+02   2.31868257E+02
      40   4.163E+01     2.0668   1.041E+00   1.0001   0.0146   1.924E-15   1.49041188E+01   1.11204005E+02   2.31860532E+02
      60   6.245E+01     2.3501   1.041E+00   1.0000   0.0148   1.722E-15   1.48695981E+01   1.10761115E+02   2.31852573E+02
      80   8.327E+01     1.9845   1.041E+00   1.0000   0.0146   1.931E-15   1.48390439E+01   1.10374882E+02   2.31844352E+02
     100   1.041E+02     2.1892   1.041E+00   1.0000   0.0145   2.441E-15   1.48113430E+01   1.10026736E+02   2.31836059E+02
     120   1.249E+02     3.4173   1.041E+00   1.0000   0.0143   2.099E-15   1.47858413E+01   1.09707570E+02   2.31827677E+02
     140   1.457E+02     2.2054   1.041E+00   0.9999   0.0141   1.910E-15   1.47620972E+01   1.09412427E+02   2.31819147E+02
     160   1.666E+02     2.0254   1.041E+00   1.0000   0.0138   1.899E-15   1.47398043E+01   1.09138218E+02   2.31810570E+02
     180   1.874E+02     2.0210   1.041E+00   1.0000   0.0136   2.583E-15   1.47187610E+01   1.08878682E+02   2.31802062E+02
     200   2.082E+02     1.9592   1.041E+00   1.0000   0.0133   2.072E-15   1.46988244E+01   1.08632172E+02   2.31793607E+02
     220   2.290E+02     1.9799   1.041E+00   1.0000   0.0132   1.850E-15   1.46798629E+01   1.08398006E+02   2.31785099E+02
     240   2.499E+02     1.9621   1.041E+00   1.0000   0.0130   1.923E-15   1.46617499E+01   1.08175554E+02   2.31776521E+02
     260   2.707E+02     1.9746   1.041E+00   1.0000   0.0128   2.246E-15   1.46443841E+01   1.07964196E+02   2.31767925E+02
     280   2.915E+02     2.0060   1.041E+00   1.0000   0.0126   2.070E-15   1.46276938E+01   1.07759502E+02   2.31759376E+02
     300   3.115E+02     2.2687   1.041E+00   1.0000   0.0124   2.083E-15   1.46122975E+01   1.07569183E+02   2.31751259E+02
     320   3.323E+02     2.1116   1.041E+00   1.0000   0.0122   2.188E-15   1.45968082E+01   1.07377480E+02   2.31742821E+02
     340   3.531E+02     1.9983   1.041E+00   1.0000   0.0121   1.879E-15   1.45818718E+01   1.07192823E+02   2.31734363E+02
     360   3.739E+02     1.9810   1.041E+00   1.0001   0.0120   2.153E-15   1.45674359E+01   1.07014977E+02   2.31725867E+02
     380   3.947E+02     1.9292   1.041E+00   1.0000   0.0119   2.160E-15   1.45534505E+01   1.06843667E+02   2.31717349E+02
     400   4.156E+02     1.9523   1.041E+00   1.0000   0.0117   2.111E-15   1.45398786E+01   1.06678102E+02   2.31708844E+02
     420   4.364E+02     1.9643   1.041E+00   1.0000   0.0116   1.963E-15   1.45266960E+01   1.06513940E+02   2.31700384E+02
     440   4.572E+02     1.9541   1.041E+00   1.0000   0.0114   2.255E-15   1.45138840E+01   1.06353555E+02   2.31691985E+02
     460   4.780E+02     1.9462   1.041E+00   1.0000   0.0113   2.104E-15   1.45014353E+01   1.06197725E+02   2.31683635E+02
     480   4.988E+02     1.9186   1.041E+00   1.0000   0.0112   2.123E-15   1.44893400E+01   1.06046361E+02   2.31675302E+02
     500   5.197E+02     2.0526   1.041E+00   1.0000   0.0111   2.008E-15   1.44775767E+01   1.05899286E+02   2.31666959E+02
     520   5.405E+02     2.0420   1.041E+00   1.0000   0.0110   1.921E-15   1.44661196E+01   1.05756350E+02   2.31658600E+02
     540   5.613E+02     2.0920   1.041E+00   0.9999   0.0109   1.948E-15   1.44549458E+01   1.05617441E+02   2.31650235E+02
     560   5.821E+02     1.8811   1.041E+00   1.0000   0.0108   2.055E-15   1.44440317E+01   1.05482390E+02   2.31641876E+02
     580   6.021E+02     2.4889   1.041E+00   1.0000   0.0107   2.134E-15   1.44337877E+01   1.05352837E+02   2.31633878E+02
     600   6.229E+02     1.9178   1.040E+00   1.0000   0.0107   1.941E-15   1.44233508E+01   1.05219007E+02   2.31625619E+02
     620   6.437E+02     1.9119   1.040E+00   1.0000   0.0106   2.045E-15   1.44131471E+01   1.05088280E+02   2.31617418E+02
     640   6.645E+02     1.8984   1.040E+00   1.0000   0.0104   2.048E-15   1.44031756E+01   1.04960655E+02   2.31609267E+02
     660   6.853E+02     1.9086   1.040E+00   1.0001   0.0103   1.953E-15   1.43934366E+01   1.04835986E+02   2.31601150E+02
     680   7.061E+02     1.8905   1.040E+00   1.0000   0.0102   2.454E-15   1.43839235E+01   1.04714138E+02   2.31593049E+02
     700   7.269E+02     1.8792   1.040E+00   1.0000   0.0102   1.874E-15   1.43746218E+01   1.04594969E+02   2.31584947E+02
     720   7.477E+02     1.8821   1.040E+00   1.0000   0.0101   1.965E-15   1.43655209E+01   1.04478442E+02   2.31576845E+02
     740   7.685E+02     1.9010   1.040E+00   1.0000   0.0100   2.127E-15   1.43566066E+01   1.04364475E+02   2.31568743E+02
     760   7.893E+02     1.8795   1.040E+00   1.0000   0.0100   2.229E-15   1.43478644E+01   1.04252969E+02   2.31560645E+02
     780   8.101E+02     1.8796   1.039E+00   1.0002   0.0099   2.008E-15   1.43392906E+01   1.04141499E+02   2.31552565E+02
     800   8.309E+02     1.8733   1.038E+00   1.0000   0.0099   1.987E-15   1.43308887E+01   1.04029610E+02   2.31544520E+02
     820   8.516E+02     1.8910   1.037E+00   0.9999   0.0098   2.296E-15   1.43226481E+01   1.03920001E+02   2.31536514E+02
     840   8.723E+02     1.8916   1.036E+00   1.0001   0.0097   2.276E-15   1.43145662E+01   1.03812664E+02   2.31528550E+02
     860   8.931E+02     1.8863   1.036E+00   0.9999   0.0096   2.026E-15   1.43066428E+01   1.03707449E+02   2.31520628E+02
     880   9.135E+02     2.0471   1.035E+00   1.0000   0.0095   2.122E-15   1.42989914E+01   1.03605741E+02   2.31512857E+02
     900   9.342E+02     1.8976   1.037E+00   1.0001   0.0095   2.043E-15   1.42913753E+01   1.03504323E+02   2.31504986E+02
     920   9.549E+02     1.9048   1.036E+00   1.0000   0.0094   1.967E-15   1.42839045E+01   1.03404648E+02   2.31497122E+02
     940   9.756E+02     1.9081   1.036E+00   1.0001   0.0094   1.906E-15   1.42765769E+01   1.03306724E+02   2.31489263E+02
     960   9.963E+02     1.9027   1.036E+00   1.0000   0.0093   2.010E-15   1.42693904E+01   1.03210581E+02   2.31481411E+02
     980   1.017E+03     1.9076   1.037E+00   0.9999   0.0093   1.801E-15   1.42623266E+01   1.03116042E+02   2.31473556E+02
    1000   1.038E+03     1.8989   1.034E+00   1.0001   0.0092   1.950E-15   1.42553905E+01   1.03023235E+02   2.31465712E+02
    1020   1.058E+03     1.8827   1.033E+00   1.0000   0.0091   2.071E-15   1.42485850E+01   1.02931567E+02   2.31457894E+02
    1040   1.079E+03     1.8896   1.017E+00   0.9984   0.0090   1.872E-15   1.42419355E+01   1.02838754E+02   2.31450143E+02
    1060   1.099E+03     1.9160   1.015E+00   0.9991   0.0091   2.017E-15   1.42354352E+01   1.02747625E+02   2.31442461E+02
    1080   1.120E+03     1.8790   1.010E+00   1.0004   0.0093   1.963E-15   1.42290690E+01   1.02658445E+02   2.31434840E+02
    1100   1.140E+03     1.8792   1.006E+00   1.0004   0.0099   2.067E-15   1.42228401E+01   1.02570997E+02   2.31427292E+02
    1120   1.160E+03     1.8986   1.013E+00   0.9995   0.0096   1.656E-15   1.42167024E+01   1.02484680E+02   2.31419765E+02
    1140   1.180E+03     1.8759   1.003E+00   1.0000   0.0094   1.974E-15   1.42106505E+01   1.02399490E+02   2.31412250E+02
    1160   1.200E+03     1.9009   8.438E-01   0.8416   0.0082   1.571E-15   1.42047851E+01   1.02316785E+02   2.31404872E+02
    1180   1.220E+03     2.4843   1.003E+00   0.9990   0.0096   2.111E-15   1.41989779E+01   1.02234712E+02   2.31397485E+02
    1200   1.240E+03     1.8960   1.001E+00   1.0011   0.0093   1.832E-15   1.41932449E+01   1.02153521E+02   2.31390087E+02
    1220   1.260E+03     1.8982   9.943E-01   0.9985   0.0096   2.061E-15   1.41876749E+01   1.02074495E+02   2.31382793E+02
    1240   1.280E+03     1.8915   9.945E-01   1.0003   0.0094   2.220E-15   1.41821802E+01   1.01996353E+02   2.31375488E+02
    1260   1.300E+03     1.8915   1.001E+00   0.9991   0.0088   1.934E-15   1.41767656E+01   1.01919148E+02   2.31368182E+02
    1280   1.320E+03     1.9041   9.963E-01   1.0014   0.0088   2.049E-15   1.41714292E+01   1.01842674E+02   2.31360873E+02
    1300   1.340E+03     1.8982   9.843E-01   1.0017   0.0091   1.978E-15   1.41662203E+01   1.01767305E+02   2.31353636E+02
    1320   1.359E+03     1.8772   9.784E-01   1.0013   0.0094   1.879E-15   1.41611533E+01   1.01693084E+02   2.31346499E+02
    1340   1.379E+03     1.9017   9.835E-01   1.0004   0.0101   1.936E-15   1.41561467E+01   1.01618621E+02   2.31339354E+02
    1360   1.398E+03     1.8774   9.715E-01   1.0012   0.0105   1.943E-15   1.41512131E+01   1.01544056E+02   2.31332224E+02
    1380   1.418E+03     1.8925   9.678E-01   0.9978   0.0112   1.794E-15   1.41464161E+01   1.01470428E+02   2.31325207E+02
    1400   1.437E+03     1.8923   9.707E-01   0.9983   0.0113   1.833E-15   1.41416531E+01   1.01396336E+02   2.31318159E+02
    1420   1.456E+03     1.8843   9.540E-01   1.0003   0.0113   1.765E-15   1.41369833E+01   1.01323160E+02   2.31311174E+02
    1440   1.476E+03     1.8896   9.587E-01   1.0042   0.0136   1.932E-15   1.41324181E+01   1.01251154E+02   2.31304280E+02
    1460   1.495E+03     1.8768   9.495E-01   0.9995   0.0136   1.885E-15   1.41278936E+01   1.01179244E+02   2.31297387E+02
    1480   1.513E+03     2.0635   9.487E-01   0.9987   0.0119   2.062E-15   1.41235054E+01   1.01109009E+02   2.31290644E+02
    1500   1.532E+03     1.9114   9.495E-01   1.0008   0.0122   1.762E-15   1.41190765E+01   1.01037438E+02   2.31283783E+02
    1520   1.551E+03     1.8958   9.305E-01   1.0009   0.0116   1.962E-15   1.41147753E+01   1.00967517E+02   2.31277072E+02
    1540   1.570E+03     1.9034   9.359E-01   1.0029   0.0123   1.932E-15   1.41105306E+01   1.00898318E+02   2.31270405E+02
    1560   1.589E+03     1.9886   9.461E-01   0.9998   0.0125   1.974E-15   1.41062697E+01   1.00828682E+02   2.31263674E+02
    1580   1.607E+03     2.0043   9.353E-01   0.9933   0.0124   2.176E-15   1.41020669E+01   1.00759734E+02   2.31257001E+02
    1600   1.626E+03     2.8484   9.077E-01   0.9921   0.0117   1.901E-15   1.40979056E+01   1.00691335E+02   2.31250364E+02
    1620   1.644E+03     3.3757   9.080E-01   0.9991   0.0122   1.899E-15   1.40938132E+01   1.00623818E+02   2.31243811E+02
    1640   1.663E+03     2.5559   9.292E-01   1.0033   0.0124   1.668E-15   1.40897303E+01   1.00556205E+02   2.31237245E+02
    1660   1.681E+03     2.1153   9.176E-01   0.9998   0.0125   1.923E-15   1.40856956E+01   1.00489111E+02   2.31230726E+02
